"Source:","/home/manus/KiCad/salt/salt/salt.kicad_sch"
"Date:","Wed 24 Apr 2024 03:26:20 PM -03"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","300"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","10uF","salt:C_10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C1206C106K4RACTU","80-C1206C106K4R","https://ar.mouser.com/ProductDetail/KEMET/C1206C106K4RACTU?qs=guDyKOyRtV0mxqxQedB7kA%3D%3D"
"","","C2","10uF","salt:C_10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C1206C106K4RACTU","80-C1206C106K4R","https://ar.mouser.com/ProductDetail/KEMET/C1206C106K4RACTU?qs=guDyKOyRtV0mxqxQedB7kA%3D%3D"
"","","C3","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"","","C4","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"","","C5","10uF","salt:C_pol_10uF","salt:EEE1AA220WR","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf","5.5","Panasonic","EEE-HAV100WAR","667-EEE-HAV100WAR","https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-HAV100WAR?qs=d1CqaRUMZD9R0%252BkBpBLRUg%3D%3D"
"","","C6","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"","","C7","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"","","C8","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"","","C9","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"","","C10","10uF","salt:C_10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C1206C106K4RACTU","80-C1206C106K4R","https://ar.mouser.com/ProductDetail/KEMET/C1206C106K4RACTU?qs=guDyKOyRtV0mxqxQedB7kA%3D%3D"
"","","C11","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"","","C12","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"","","C13","10uF","salt:C_pol_10uF","salt:EEE1AA220WR","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf","5.5","Panasonic","EEE-HAV100WAR","667-EEE-HAV100WAR","https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-HAV100WAR?qs=d1CqaRUMZD9R0%252BkBpBLRUg%3D%3D"
