"Source:","/home/manus/KiCad/salt/salt_ihm/salt_ihm.kicad_sch"
"Date:","Wed 24 Apr 2024 03:17:26 PM -03"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","10uF","salt:C_10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C1206C106K4RACTU","80-C1206C106K4R","https://ar.mouser.com/ProductDetail/KEMET/C1206C106K4RACTU?qs=guDyKOyRtV0mxqxQedB7kA%3D%3D"
"","","C2","10uF","salt:C_10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C1206C106K4RACTU","80-C1206C106K4R","https://ar.mouser.com/ProductDetail/KEMET/C1206C106K4RACTU?qs=guDyKOyRtV0mxqxQedB7kA%3D%3D"
"","","C3","100nF","salt:C_100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://ar.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf","","KEMET","C0805C104K4RACTU","80-C0805C104K4R","https://ar.mouser.com/ProductDetail/KEMET/C0805C104K4RACTU?qs=Pc30aiB8zWWfqQNJWggt%252BA%3D%3D"
"","","DS1","LTC-5723HR","salt:LTC-5723HR","salt:DIP1524W75P254L5030H825Q12N","https://componentsearchengine.com/Datasheets/1/LTC-5723HR.pdf","8.25","Lite-On","LTC-5723HR","859-LTC-5723HR","https://www.mouser.co.uk/ProductDetail/Lite-On/LTC-5723HR?qs=WxFF5lh7QM2ytJdX1EhJKQ%3D%3D"
"","","H1","MountingHole","salt:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"","","H2","MountingHole","salt:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"","","H3","MountingHole","salt:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"","","H4","MountingHole","salt:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","",""
"","","IC1","AS1115-BSST","salt:AS1115-BSST","salt:SOP64P600X175-24N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-SFU1/DSASFU10002655.pdf","1.75","ams","AS1115-BSST","985-AS1115-BSST","https://www.mouser.co.uk/ProductDetail/ams/AS1115-BSST?qs=jMXWnm70%252BC%2FTIBNsbFwa8Q%3D%3D"
"","","J1","1934861","salt:1934861","salt:1934861","https://www.phoenixcontact.com/us/products/1934861/pdf","8.72","Phoenix Contact","1934861","651-1934861","https://ar.mouser.com/ProductDetail/Phoenix-Contact/1934861?qs=F79NelsxgYFJ8Q%252BI0GKhbg%3D%3D"
"","","J2","1934887","salt:1934887","salt:1934887","https://www.phoenixcontact.com/us/products/1934887/pdf","8.72","Phoenix Contact","1934887","651-1934887","https://ar.mouser.com/ProductDetail/Phoenix-Contact/1934887?qs=TU%2Fqnd37FkmAQrQLEWCosQ%3D%3D"
"","","LED1","WP7113LZGCK","salt:WP7113LZGCK","salt:WP7113LZGCK","https://www.mouser.com/datasheet/2/216/WP7113LZGCK-535810.pdf","8.85","Kingbright","WP7113LZGCK","604-WP7113LZGCK","https://www.mouser.com/ProductDetail/Kingbright/WP7113LZGCK?qs=6oMev5NRZME0vaccujctkg%3D%3D"
"","","LED2","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
"","","LED3","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
"","","LED4","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
"","","LED5","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
